entity_id,pmid
UniProt:P0A9Q7,40527451
UniProt:P0A9Q7,40074247
UniProt:P0A9Q7,39905769
UniProt:P77580,31147757
UniProt:P77580,29188185
UniProt:P77580,26384570
UniProt:P33221,36738854
UniProt:P33221,26100103
UniProt:P33221,19384989
UniProt:P11868,40302378
UniProt:P11868,21553488
UniProt:P11868,20699085
UniProt:P0A6A3,41740934
UniProt:P0A6A3,40893158
UniProt:P0A6A3,40370194
UniProt:P25516,38809464
UniProt:P25516,37917668
UniProt:P25516,33153884
UniProt:P36683,36289548
UniProt:P36683,30305992
UniProt:P36683,25626919
UniProt:P69441,41619508
UniProt:P69441,41061951
UniProt:P69441,40638870
UniProt:P0A9P0,40734716
UniProt:P0A9P0,37401599
UniProt:P0A9P0,35341982
UniProt:P0AFG6,30497599
UniProt:P0AFG6,30061293
UniProt:P0AFG6,29228224
UniProt:P0AFG3,41489334
UniProt:P0AFG3,39772599
UniProt:P0AFG3,39319730
UniProt:P0AEX3,40832802
UniProt:P0AEX3,39772599
UniProt:P0AEX3,36738854
UniProt:P25437,40267714
UniProt:P25437,37106602
UniProt:P25437,33729768
UniProt:P39451,39546426
UniProt:P39451,35402410
UniProt:P39451,34448097
UniProt:P0ABB0,37685244
UniProt:P0ABB0,32721518
UniProt:P0ABB0,28440329
UniProt:P0ABA6,40161323
UniProt:P0ABA6,12949105
UniProt:P0ABA6,10788522
UniProt:P0ABA0,26209678
UniProt:P0ABA0,18807027
UniProt:P0ABA0,12949105
UniProt:P68699,32721518
UniProt:P68699,30726708
UniProt:P68699,28246335
UniProt:P0ABC0,39292964
UniProt:P0ABC0,25117444
UniProt:P0ABC0,23123906
UniProt:P0AB98,39821116
UniProt:P0AB98,31186003
UniProt:P0AB98,23836871
UniProt:P0ABA4,26209678
UniProt:P0ABA4,25277045
UniProt:P0ABA4,25192989
UniProt:P0A6E6,39278982
UniProt:P0A6E6,32721518
UniProt:P0A6E6,29477583
UniProt:P0ABB4,41171483
UniProt:P0ABB4,38044020
UniProt:P0ABB4,26474562
UniProt:P0ABH7,41625487
UniProt:P0ABH7,41050197
UniProt:P0ABH7,40953634
UniProt:P0ABJ9,40161323
UniProt:P0ABJ9,38687052
UniProt:P0ABJ9,36539564
UniProt:P0ABK2,39778731
UniProt:P0ABK2,39103877
UniProt:P0ABK2,37788289
UniProt:P26458,10216161
UniProt:P26459,33126621
UniProt:P26459,10216161
UniProt:P33231,41713594
UniProt:P33231,39379966
UniProt:P33231,37142758
UniProt:Q46839,41033529
UniProt:Q46839,38561119
UniProt:Q46839,38145357
UniProt:P0A6P9,40600943
UniProt:P0A6P9,39167552
UniProt:P0A6P9,36016709
UniProt:P0AB71,40665472
UniProt:P0AB71,39181208
UniProt:P0AB71,31256002
UniProt:P77704,31322866
UniProt:P77704,31314509
UniProt:P0A991,33053413
UniProt:P0A991,27227414
UniProt:P0A991,25286943
UniProt:P0A9C9,40665472
UniProt:P0A9C9,36702325
UniProt:P0A9C9,34608966
UniProt:P0A993,40074247
UniProt:P0A993,39181208
UniProt:P0A993,37301357
UniProt:P77733,40893978
UniProt:P77733,40784583
UniProt:P77733,38307245
UniProt:P0AC23,41160541
UniProt:P0AC23,40784583
UniProt:P0AC23,39868885
UniProt:P0A8Q0,24615384
UniProt:P0A8Q0,20005205
UniProt:P0A8Q0,17938909
UniProt:P00363,40994329
UniProt:P00363,39523316
UniProt:P00363,33754467
UniProt:P0AC47,40074247
UniProt:P0AC47,38549423
UniProt:P0AC47,29694600
UniProt:P0A8Q3,39970152
UniProt:P0A8Q3,32044024
UniProt:P0A8Q3,29902774
UniProt:P69805,40631600
UniProt:P69805,40019617
UniProt:P69805,29720171
UniProt:P69797,40886848
UniProt:P69797,40295218
UniProt:P69797,38705212
UniProt:P08839,41165745
UniProt:P08839,40586599
UniProt:P08839,40148961
UniProt:P0AA04,40201162
UniProt:P0AA04,39258327
UniProt:P0AA04,36251433
UniProt:P69801,41774795
UniProt:P69801,41774415
UniProt:P69801,41773809
UniProt:P05042,41405415
UniProt:P05042,39088025
UniProt:P05042,37883386
UniProt:P14407,40074247
UniProt:P14407,39278982
UniProt:P14407,36044995
UniProt:P0AC33,39168372
UniProt:P0AC33,34083440
UniProt:P0AC33,31281927
UniProt:P0A830,41230977
UniProt:P0A830,38432210
UniProt:P0A830,36948656
UniProt:P0AC53,41574266
UniProt:P0AC53,41188077
UniProt:P0AC53,41173073
UniProt:P0A9B2,41013613
UniProt:P0A9B2,40661648
UniProt:P0A9B2,40481524
UniProt:P69786,41645579
UniProt:P69786,40295218
UniProt:P69786,40195009
UniProt:P69783,39933098
UniProt:P69783,39565127
UniProt:P69783,36370454
UniProt:P19642,39211796
UniProt:P19642,31076319
UniProt:P19642,28640743
UniProt:P78061,36416552
UniProt:P78061,32792329
UniProt:P78061,22636776
UniProt:P0A9C5,40953634
UniProt:P0A9C5,39543621
UniProt:P0A9C5,39255373
UniProt:P10346,12010975
UniProt:P10346,7860604
UniProt:P10346,8360165
UniProt:P0AEQ3,36098933
UniProt:P0AEQ3,12010975
UniProt:P0AEQ3,8360165
UniProt:P0AEQ6,38415955
UniProt:P0AEQ6,36062564
UniProt:P0AEQ6,12010975
UniProt:P00370,40953634
UniProt:P00370,39999307
UniProt:P00370,39273688
UniProt:P0A6W0,36190429
UniProt:P0A6W0,32527330
UniProt:P0A6W0,30367006
UniProt:P77454,36190429
UniProt:P77454,35885334
UniProt:P77454,32527330
UniProt:P05041,40785127
UniProt:P05041,40001354
UniProt:P05041,35707744
UniProt:P09832,33850153
UniProt:P09832,22020637
UniProt:P09832,20105320
UniProt:P09831,38549423
UniProt:P09831,28622378
UniProt:P09831,22020637
UniProt:P21345,30666812
UniProt:P21345,28025687
UniProt:P21345,17042498
UniProt:P00350,41574266
UniProt:P00350,40759871
UniProt:P00350,40157454
UniProt:P60844,41148163
UniProt:P60844,40409660
UniProt:P60844,35621361
UniProt:P08200,41281640
UniProt:P08200,40953634
UniProt:P08200,40742148
UniProt:P0A9G6,41050197
UniProt:P0A9G6,38333705
UniProt:P0A9G6,37821748
UniProt:P52643,40994329
UniProt:P52643,40994328
UniProt:P52643,40888975
UniProt:P06149,40742148
UniProt:P06149,39236473
UniProt:P06149,38936658
UniProt:P08997,29592804
UniProt:P08997,29424136
UniProt:P08997,27980674
UniProt:P37330,40951875
UniProt:P37330,31591464
UniProt:P37330,31281927
UniProt:P61889,41524972
UniProt:P61889,41405415
UniProt:P61889,40683858
UniProt:P26616,40103233
UniProt:P26616,37634412
UniProt:P26616,37511377
UniProt:P76558,41050200
UniProt:P76558,40341454
UniProt:P76558,40103233
UniProt:P0AFD6,32410332
UniProt:P0AFD6,22474289
UniProt:P0AFD6,17640900
UniProt:P0AFE8,40161322
UniProt:P0AFE8,27709304
UniProt:P0AFE8,25868873
UniProt:P0AFE0,32244054
UniProt:P0AFE0,25747201
UniProt:P0AFE0,18771280
UniProt:P33599,40675508
UniProt:P33599,38904380
UniProt:P33599,34562374
UniProt:P0AFC7,32325409
UniProt:P0AFC7,20979355
UniProt:P0AFC7,19189973
UniProt:P31979,38284296
UniProt:P31979,30455736
UniProt:P31979,28061865
UniProt:P0AFF0,28526842
UniProt:P0AFF0,24778264
UniProt:P0AFF0,24059520
UniProt:P0AFD4,27139710
UniProt:P0AFD4,25747201
UniProt:P0AFD4,22079202
UniProt:P0AFE4,26931547
UniProt:P0AFE4,25747201
UniProt:P0AFE4,23105119
UniProt:P33602,39278982
UniProt:P33602,28061865
UniProt:P33602,23831557
UniProt:P0AFD1,37917668
UniProt:P0AFD1,23543743
UniProt:P0AFD1,21607697
UniProt:P0AFC3,37627766
UniProt:P0AFC3,32920372
UniProt:P0AFC3,25545070
UniProt:P33607,36104567
UniProt:P33607,27799324
UniProt:P33607,27709304
UniProt:P07001,37097502
UniProt:P07001,30455736
UniProt:P07001,27555881
UniProt:P27306,41740667
UniProt:P27306,41686521
UniProt:P27306,38942195
UniProt:P0AB67,28976546
UniProt:P0AB67,23840478
UniProt:P0AB67,22950009
UniProt:P69681,35621361
UniProt:P69681,34718990
UniProt:P69681,33242092
UniProt:P0AFG8,40678411
UniProt:P0AFG8,40675508
UniProt:P0AFG8,40542734
UniProt:P06959,40675508
UniProt:P06959,36639019
UniProt:P06959,34729319
UniProt:P0A796,41524972
UniProt:P0A796,41237125
UniProt:P0A796,41173073
UniProt:P06999,40492839
UniProt:P06999,40103190
UniProt:P06999,39940094
UniProt:P42632,40678411
UniProt:P42632,27861552
UniProt:P42632,26122736
UniProt:P68066,40388635
UniProt:P68066,35377165
UniProt:P68066,20545747
UniProt:P32674,41513997
UniProt:P32674,39283600
UniProt:P32674,16187334
UniProt:P0A9N4,41513997
UniProt:P0A9N4,40261933
UniProt:P0A9N4,39792952
UniProt:P32675,26472319
UniProt:P32675,25378200
UniProt:P32675,24723509
UniProt:P09373,41513997
UniProt:P09373,40994329
UniProt:P09373,40994328
UniProt:P0A6T1,41718552
UniProt:P0A6T1,41625487
UniProt:P0A6T1,41188077
UniProt:P0A799,39874844
UniProt:P0A799,37817206
UniProt:P0A799,36296205
UniProt:P52697,41237125
UniProt:P52697,39811763
UniProt:P52697,38982839
UniProt:P0A7A2,23728795
UniProt:P62707,36640332
UniProt:P62707,28161514
UniProt:P62707,22952665
UniProt:P0AFJ7,36346250
UniProt:P0AFJ7,32786571
UniProt:P0AFJ7,31198860
UniProt:P43676,26211961
UniProt:P43676,19481094
UniProt:P43676,11544243
UniProt:P00864,41173074
UniProt:P00864,40994328
UniProt:P00864,40953634
UniProt:P22259,41624986
UniProt:P22259,41214663
UniProt:P22259,39743645
UniProt:P23538,41504901
UniProt:P23538,40286824
UniProt:P23538,38636729
UniProt:P0A9M8,41744034
UniProt:P0A9M8,41173074
UniProt:P0A9M8,40994329
UniProt:P77218,40139466
UniProt:P77218,24658737
UniProt:P77218,21046341
UniProt:P0AD61,41665249
UniProt:P0AD61,41645579
UniProt:P0AD61,40825964
UniProt:P21599,40341454
UniProt:P21599,40148961
UniProt:P21599,39278982
UniProt:P0AG07,39594664
UniProt:P0AG07,36845174
UniProt:P0AG07,34412469
UniProt:P39362,25536488
UniProt:P0A7Z0,41718552
UniProt:P0A7Z0,40665472
UniProt:P0A7Z0,40103190
UniProt:P37351,39594664
UniProt:P37351,38381041
UniProt:P37351,22483752
UniProt:P69054,40074247
UniProt:P69054,39278982
UniProt:P69054,38814092
UniProt:P0AC44,34089891
UniProt:P0AC44,30131786
UniProt:P0AC44,23469036
UniProt:P07014,38117844
UniProt:P07014,34089891
UniProt:P07014,33500336
UniProt:P0AC41,39168372
UniProt:P0AC41,38675830
UniProt:P0AC41,37730173
UniProt:P0AGE9,41050201
UniProt:P0AGE9,37401599
UniProt:P0AGE9,33687200
UniProt:P0A836,41050201
UniProt:P0A836,34543491
UniProt:P0A836,31516550
UniProt:P0A870,41645579
UniProt:P0A870,40600718
UniProt:P0A870,36938858
UniProt:P0A867,40600718
UniProt:P0A867,36938858
UniProt:P0A867,36822462
UniProt:P33570,41718552
UniProt:P33570,39278982
UniProt:P33570,36938858
UniProt:P27302,41718552
UniProt:P27302,41645579
UniProt:P27302,41504901
UniProt:P0A858,41773525
UniProt:P0A858,39591528
UniProt:P0A858,38111640
CHEBI:CHEBI:12965,41687986
CHEBI:CHEBI:12965,41596588
CHEBI:CHEBI:12965,40825447
CHEBI:CHEBI:13110,41453528
CHEBI:CHEBI:13110,41349479
CHEBI:CHEBI:13110,41223834
CHEBI:CHEBI:13107,41717872
CHEBI:CHEBI:13107,41453528
CHEBI:CHEBI:13107,41201685
CHEBI:CHEBI:14368,41708010
CHEBI:CHEBI:14368,41622214
CHEBI:CHEBI:14368,41573894
CHEBI:CHEBI:10743,24132752
CHEBI:CHEBI:10744,41800436
CHEBI:CHEBI:10744,41790250
CHEBI:CHEBI:10744,41765522
CHEBI:CHEBI:14465,41506316
CHEBI:CHEBI:14465,41050197
CHEBI:CHEBI:14465,40803582
CHEBI:CHEBI:11001,41334914
CHEBI:CHEBI:11001,41168857
CHEBI:CHEBI:11001,40724824
CHEBI:CHEBI:11066,41214663
CHEBI:CHEBI:11066,39088025
CHEBI:CHEBI:11066,37945607
CHEBI:CHEBI:13393,41732914
CHEBI:CHEBI:13393,41574266
CHEBI:CHEBI:13393,41352500
CHEBI:CHEBI:13395,27245399
CHEBI:CHEBI:13395,27083875
CHEBI:CHEBI:13395,23223979
CHEBI:CHEBI:13397,41574266
CHEBI:CHEBI:13397,41352500
CHEBI:CHEBI:13397,40994337
CHEBI:CHEBI:13399,32481517
CHEBI:CHEBI:13399,22064680
CHEBI:CHEBI:13399,19582448
CHEBI:CHEBI:13405,41681345
CHEBI:CHEBI:13405,41622214
CHEBI:CHEBI:13405,41574936
CHEBI:CHEBI:10745,24358980
CHEBI:CHEBI:10745,7556154
CHEBI:CHEBI:10745,3075950
CHEBI:CHEBI:11651,28421660
CHEBI:CHEBI:11879,31469543
CHEBI:CHEBI:11879,3058207
CHEBI:CHEBI:11879,269382
CHEBI:CHEBI:12820,41580056
CHEBI:CHEBI:12820,40953634
CHEBI:CHEBI:12820,40815161
CHEBI:CHEBI:14812,41740936
CHEBI:CHEBI:14812,41729156
CHEBI:CHEBI:14812,41665249
CHEBI:CHEBI:12232,22416130
CHEBI:CHEBI:12232,7031648
CHEBI:CHEBI:12232,786365
CHEBI:CHEBI:14791,41793926
CHEBI:CHEBI:14791,41774415
CHEBI:CHEBI:14791,41773525
CHEBI:CHEBI:13704,41771409
CHEBI:CHEBI:13704,41740934
CHEBI:CHEBI:13704,41701392
CHEBI:CHEBI:14987,41771409
CHEBI:CHEBI:14987,41749467
CHEBI:CHEBI:14987,41740936
CHEBI:CHEBI:61683,41759743
CHEBI:CHEBI:61683,38614453
CHEBI:CHEBI:61683,34873041
CHEBI:CHEBI:61682,39201797
CHEBI:CHEBI:61682,32159929
CHEBI:CHEBI:61682,31644263
CHEBI:CHEBI:10270,28347766
CHEBI:CHEBI:13018,38944124
CHEBI:CHEBI:13018,36845174
CHEBI:CHEBI:13018,36649417
CHEBI:CHEBI:13703,41008523
CHEBI:CHEBI:13703,40994328
CHEBI:CHEBI:13703,40914560
CHEBI:CHEBI:15073,40818900
CHEBI:CHEBI:15073,40600718
CHEBI:CHEBI:15073,39594664
CHEBI:CHEBI:13712,41683866
CHEBI:CHEBI:13712,41625487
CHEBI:CHEBI:13712,41582770
CHEBI:CHEBI:132287,41675058
CHEBI:CHEBI:132287,41624986
CHEBI:CHEBI:132287,41623624
CHEBI:CHEBI:10746,40994328
CHEBI:CHEBI:10746,40302378
CHEBI:CHEBI:10746,39523813
CHEBI:CHEBI:10482,41181876
CHEBI:CHEBI:10482,39224858
CHEBI:CHEBI:10482,38809464
CHEBI:CHEBI:13036,41508204
CHEBI:CHEBI:13036,41286139
CHEBI:CHEBI:13036,40548707
CHEBI:CHEBI:13711,40536166
CHEBI:CHEBI:13711,40424092
CHEBI:CHEBI:13711,40408184
CHEBI:CHEBI:11638,40705132
CHEBI:CHEBI:11638,40657095
CHEBI:CHEBI:11638,40052306
CHEBI:CHEBI:132362,41681345
CHEBI:CHEBI:132362,41580056
CHEBI:CHEBI:132362,41549526
CHEBI:CHEBI:13294,41580056
CHEBI:CHEBI:13294,41343663
CHEBI:CHEBI:13294,41334914
CHEBI:CHEBI:14341,41773525
CHEBI:CHEBI:14341,41099553
CHEBI:CHEBI:14341,39062466
CHEBI:CHEBI:12921,34517109
CHEBI:CHEBI:12921,23507306
CHEBI:CHEBI:12921,22326798
CHEBI:CHEBI:14222,41795412
CHEBI:CHEBI:14222,41784891
CHEBI:CHEBI:14222,41754423
CHEBI:CHEBI:10375,40595444
CHEBI:CHEBI:10375,39999377
CHEBI:CHEBI:10375,27657847
CHEBI:CHEBI:37736,17166851
CHEBI:CHEBI:37736,1313579
CHEBI:CHEBI:37736,6996735
CHEBI:CHEBI:14276,41701392
CHEBI:CHEBI:14276,41597754
CHEBI:CHEBI:14276,41386341
CHEBI:CHEBI:12923,40665472
CHEBI:CHEBI:12923,40632773
CHEBI:CHEBI:12923,40595444
CHEBI:CHEBI:14284,41623624
CHEBI:CHEBI:14284,41549526
CHEBI:CHEBI:14284,41378335
CHEBI:CHEBI:12983,41129243
CHEBI:CHEBI:12983,41099529
CHEBI:CHEBI:12983,40743594
CHEBI:CHEBI:14314,29684280
CHEBI:CHEBI:14314,29535276
CHEBI:CHEBI:14314,29297252
